run,xign,yign,fuel,slp,asp,ws,wd,m1,m10,m100,cc,ch,cbh,cbd,lhc,lwc,firearea
0,-579.3,-913.2,101,35,44,19.3,208.8,3.0,4.0,5.0,0,0,0,0,120.0,150.0,
1,-221.8,-593.8,101,35,9,0.8,184.6,3.0,4.0,5.0,0,0,0,0,90.0,120.0,
2,619.2,33.5,101,0,217,25.3,327.0,3.0,4.0,5.0,0,0,0,0,60.0,90.0,
3,-490.0,15.4,101,6,333,26.8,98.2,3.0,4.0,5.0,0,0,0,0,90.0,120.0,
4,-90.4,106.9,101,18,350,19.4,342.0,3.0,4.0,5.0,0,0,0,0,120.0,150.0,
5,-136.5,685.6,101,19,204,29.4,271.2,6.0,7.0,8.0,0,0,0,0,120.0,150.0,
6,-764.8,917.7,101,44,23,22.7,200.4,9.0,10.0,11.0,0,0,0,0,90.0,120.0,
7,913.0,577.1,101,10,347,11.0,44.6,3.0,4.0,5.0,0,0,0,0,120.0,150.0,
8,-913.4,-662.9,101,20,61,20.4,260.8,6.0,7.0,8.0,0,0,0,0,90.0,120.0,
9,-277.3,511.7,101,9,196,27.0,117.1,6.0,7.0,8.0,0,0,0,0,60.0,90.0,
10,151.6,766.3,101,22,251,2.0,298.7,6.0,7.0,8.0,0,0,0,0,120.0,150.0,
11,222.3,-880.3,101,38,15,1.6,263.0,3.0,4.0,5.0,0,0,0,0,120.0,150.0,
12,-585.9,-656.3,101,45,252,22.5,336.5,3.0,4.0,5.0,0,0,0,0,120.0,150.0,
13,-523.6,-308.4,101,13,67,15.4,96.5,9.0,10.0,11.0,0,0,0,0,60.0,90.0,
14,-916.8,-475.0,101,23,225,22.4,260.3,6.0,7.0,8.0,0,0,0,0,120.0,150.0,
15,44.2,-944.6,101,39,229,13.1,56.2,12.0,13.0,14.0,0,0,0,0,30.0,60.0,
16,-334.8,113.6,101,32,266,9.2,243.2,6.0,7.0,8.0,0,0,0,0,120.0,150.0,
