run,xign,yign,fuel,slp,asp,ws,wd,m1,m10,m100,cc,ch,cbh,cbd,lhc,lwc,firearea
0,-101.1,-580.6,101,13,345,3.9,226.6,3.0,4.0,5.0,0,0,0,0,120.0,150.0,
1,619.5,-0.1,101,15,311,10.8,294.8,6.0,7.0,8.0,0,0,0,0,120.0,150.0,
2,-909.6,794.2,101,6,175,16.6,208.7,3.0,4.0,5.0,0,0,0,0,60.0,90.0,
3,894.8,-650.5,101,26,334,30.8,35.7,12.0,13.0,14.0,0,0,0,0,120.0,150.0,
4,-43.3,-832.0,101,16,132,20.5,303.3,3.0,4.0,5.0,0,0,0,0,90.0,120.0,
5,-746.8,-56.6,101,25,294,23.4,222.4,12.0,13.0,14.0,0,0,0,0,90.0,120.0,
6,-843.1,312.2,101,42,100,29.0,99.9,9.0,10.0,11.0,0,0,0,0,60.0,90.0,
7,-932.7,-361.9,101,18,354,28.4,297.9,3.0,4.0,5.0,0,0,0,0,120.0,150.0,
8,-248.9,35.0,101,22,354,17.6,14.3,6.0,7.0,8.0,0,0,0,0,120.0,150.0,
9,46.9,255.2,101,19,74,9.1,193.8,12.0,13.0,14.0,0,0,0,0,60.0,90.0,
10,663.4,308.9,101,20,318,2.3,50.1,9.0,10.0,11.0,0,0,0,0,120.0,150.0,
11,150.9,267.9,101,30,246,13.2,274.4,12.0,13.0,14.0,0,0,0,0,30.0,60.0,
12,296.5,183.6,101,45,146,18.3,343.0,9.0,10.0,11.0,0,0,0,0,60.0,90.0,
13,825.4,-659.8,101,18,219,12.1,147.3,3.0,4.0,5.0,0,0,0,0,120.0,150.0,
14,835.9,-394.0,101,10,360,20.7,78.8,3.0,4.0,5.0,0,0,0,0,90.0,120.0,
15,515.3,-524.0,101,17,243,13.7,290.7,12.0,13.0,14.0,0,0,0,0,30.0,60.0,
16,334.7,592.3,101,33,314,2.6,289.8,12.0,13.0,14.0,0,0,0,0,120.0,150.0,
17,-316.0,497.5,101,9,197,26.2,230.7,9.0,10.0,11.0,0,0,0,0,120.0,150.0,
18,-181.7,-88.3,101,17,183,16.4,77.6,9.0,10.0,11.0,0,0,0,0,30.0,60.0,
19,21.0,128.2,101,7,264,16.4,356.2,3.0,4.0,5.0,0,0,0,0,60.0,90.0,
20,799.7,-867.3,101,31,214,8.1,195.6,9.0,10.0,11.0,0,0,0,0,60.0,90.0,
21,33.5,121.1,101,19,309,5.1,245.7,9.0,10.0,11.0,0,0,0,0,60.0,90.0,
22,364.2,-331.5,101,19,136,24.7,199.7,9.0,10.0,11.0,0,0,0,0,120.0,150.0,
23,566.5,353.8,101,33,330,25.5,343.4,9.0,10.0,11.0,0,0,0,0,90.0,120.0,
24,-473.5,700.3,101,33,284,28.5,296.1,12.0,13.0,14.0,0,0,0,0,90.0,120.0,
25,441.3,-558.7,101,6,26,12.8,215.2,3.0,4.0,5.0,0,0,0,0,30.0,60.0,
26,-322.4,-486.7,101,41,218,10.1,273.4,12.0,13.0,14.0,0,0,0,0,90.0,120.0,
27,-603.6,310.3,101,26,245,2.4,274.9,12.0,13.0,14.0,0,0,0,0,120.0,150.0,
28,-663.4,940.0,101,2,26,22.6,122.6,6.0,7.0,8.0,0,0,0,0,60.0,90.0,
29,-691.2,-861.2,101,12,260,7.3,219.0,12.0,13.0,14.0,0,0,0,0,30.0,60.0,
30,-90.8,-949.6,101,0,24,6.8,164.9,12.0,13.0,14.0,0,0,0,0,60.0,90.0,
31,871.1,-63.0,101,7,271,18.3,162.4,12.0,13.0,14.0,0,0,0,0,30.0,60.0,
32,691.7,485.6,101,42,178,26.7,339.1,12.0,13.0,14.0,0,0,0,0,60.0,90.0,
33,-567.0,453.9,101,20,89,24.4,256.1,6.0,7.0,8.0,0,0,0,0,60.0,90.0,
34,-106.9,63.0,101,41,328,27.9,271.6,9.0,10.0,11.0,0,0,0,0,90.0,120.0,
35,147.2,-730.5,101,12,278,4.3,38.7,3.0,4.0,5.0,0,0,0,0,30.0,60.0,
36,-701.9,353.1,101,13,60,2.8,204.7,9.0,10.0,11.0,0,0,0,0,60.0,90.0,
37,-613.4,456.5,101,14,108,27.0,140.2,3.0,4.0,5.0,0,0,0,0,30.0,60.0,
38,-668.6,383.3,101,28,205,6.6,216.1,12.0,13.0,14.0,0,0,0,0,90.0,120.0,
39,276.0,660.2,101,33,63,15.5,208.8,9.0,10.0,11.0,0,0,0,0,30.0,60.0,
40,-706.7,-462.0,101,7,301,12.6,229.2,3.0,4.0,5.0,0,0,0,0,90.0,120.0,
41,729.1,370.6,101,27,188,12.5,351.5,3.0,4.0,5.0,0,0,0,0,120.0,150.0,
