run,xign,yign,ws,wd,m1,m10,m100,lhc,lwc,firearea
9713,36.902220,-121.761337,28.6,20.3,3.0,4.0,5.0,30.0,60.0,
9714,39.840384,-121.086804,8.6,215.4,6.0,7.0,8.0,30.0,60.0,
9715,40.340549,-120.648950,28.3,27.5,9.0,10.0,11.0,60.0,90.0,
9716,36.731848,-121.694500,7.6,150.4,3.0,4.0,5.0,120.0,150.0,
9717,37.689648,-121.323244,15.8,283.3,12.0,13.0,14.0,60.0,90.0,
9718,37.142338,-121.841730,13.9,193.2,3.0,4.0,5.0,120.0,150.0,
9719,40.428551,-121.965782,23.6,264.2,6.0,7.0,8.0,90.0,120.0,
9720,39.444757,-121.149825,30.7,8.2,3.0,4.0,5.0,120.0,150.0,
9721,40.177399,-120.849070,9.0,52.8,3.0,4.0,5.0,90.0,120.0,
9722,41.365218,-121.675112,3.8,172.0,12.0,13.0,14.0,90.0,120.0,
9723,40.045304,-122.299633,21.6,240.3,9.0,10.0,11.0,120.0,150.0,
9724,41.953820,-120.890953,29.7,189.0,12.0,13.0,14.0,90.0,120.0,
9725,36.800408,-122.265195,22.7,164.4,9.0,10.0,11.0,60.0,90.0,
9726,38.569248,-121.158830,18.3,318.1,6.0,7.0,8.0,30.0,60.0,
9727,39.605730,-121.758347,13.8,203.9,12.0,13.0,14.0,120.0,150.0,
9728,40.592804,-121.111140,27.9,133.1,6.0,7.0,8.0,30.0,60.0,
9729,37.097552,-122.021294,9.6,13.8,12.0,13.0,14.0,120.0,150.0,
9730,42.121712,-121.687415,29.6,176.4,3.0,4.0,5.0,60.0,90.0,
9731,39.789191,-121.876163,25.1,231.1,6.0,7.0,8.0,120.0,150.0,
9732,41.874772,-121.321352,6.7,272.8,3.0,4.0,5.0,60.0,90.0,
9733,39.059103,-121.384127,30.7,77.6,12.0,13.0,14.0,120.0,150.0,
9734,38.482753,-121.393939,4.7,295.5,9.0,10.0,11.0,30.0,60.0,
9735,39.890049,-121.739637,5.1,33.6,3.0,4.0,5.0,30.0,60.0,
9736,36.779459,-121.673672,6.5,60.2,9.0,10.0,11.0,120.0,150.0,
9737,41.908990,-121.064430,5.8,34.9,3.0,4.0,5.0,60.0,90.0,
9738,39.867383,-121.519864,29.3,271.5,12.0,13.0,14.0,120.0,150.0,
9739,38.598011,-121.957784,0.6,155.6,9.0,10.0,11.0,90.0,120.0,
9740,36.779998,-120.810325,5.6,269.3,3.0,4.0,5.0,90.0,120.0,
9741,36.579209,-122.172567,4.5,323.8,12.0,13.0,14.0,60.0,90.0,
9742,39.071892,-121.275169,20.5,167.5,12.0,13.0,14.0,90.0,120.0,
9743,38.479815,-122.158464,25.6,88.3,6.0,7.0,8.0,120.0,150.0,
9744,39.179242,-121.784693,30.9,302.0,6.0,7.0,8.0,120.0,150.0,
9745,39.151079,-121.799691,25.0,191.2,3.0,4.0,5.0,60.0,90.0,
9746,39.237521,-120.570177,4.7,206.7,3.0,4.0,5.0,90.0,120.0,
9747,40.949593,-121.388315,29.8,10.8,6.0,7.0,8.0,120.0,150.0,
9748,36.669546,-121.599941,0.2,205.5,12.0,13.0,14.0,90.0,120.0,
9749,37.153248,-120.890446,27.0,267.3,3.0,4.0,5.0,120.0,150.0,
9750,42.002810,-121.845346,14.8,48.7,9.0,10.0,11.0,120.0,150.0,
9751,40.737164,-122.238023,30.8,120.6,12.0,13.0,14.0,120.0,150.0,
9752,36.690297,-120.775906,21.0,115.4,9.0,10.0,11.0,60.0,90.0,
9753,42.120816,-122.257679,25.6,121.8,6.0,7.0,8.0,90.0,120.0,
9754,40.027739,-122.275919,4.4,304.9,3.0,4.0,5.0,60.0,90.0,
9755,37.770142,-120.707851,1.1,27.6,9.0,10.0,11.0,30.0,60.0,
9756,38.566572,-121.515429,13.6,83.7,3.0,4.0,5.0,60.0,90.0,
9757,36.675959,-121.918672,4.2,196.0,9.0,10.0,11.0,90.0,120.0,
9758,36.725281,-121.623620,12.9,169.4,9.0,10.0,11.0,30.0,60.0,
9759,38.975645,-121.831967,14.7,297.0,3.0,4.0,5.0,60.0,90.0,
9760,42.161922,-121.939052,10.4,331.5,3.0,4.0,5.0,120.0,150.0,
9761,41.654061,-120.636831,10.3,192.8,12.0,13.0,14.0,120.0,150.0,
9762,42.119460,-122.072701,11.9,322.9,6.0,7.0,8.0,60.0,90.0,
9763,37.175015,-122.129314,7.4,343.1,6.0,7.0,8.0,120.0,150.0,
9764,41.514694,-121.094740,23.3,175.2,12.0,13.0,14.0,90.0,120.0,
9765,40.042311,-121.980691,13.7,179.0,12.0,13.0,14.0,60.0,90.0,
9766,36.322656,-122.167783,6.4,186.9,12.0,13.0,14.0,60.0,90.0,
9767,36.759436,-121.869003,2.2,232.4,3.0,4.0,5.0,120.0,150.0,
9768,38.411784,-121.669849,1.6,144.5,3.0,4.0,5.0,120.0,150.0,
