run,xign,yign,fuel,slp,asp,ws,wd,m1,m10,m100,cc,ch,cbh,cbd,lhc,lwc,firearea
0,616.6,179.3,104,24,56,17.0,302.5,6.0,7.0,8.0,0,0,0,0,90.0,120.0,1464.7
1,942.4,-750.1,146,45,210,28.0,343.9,6.0,7.0,8.0,0,0,0,0,30.0,60.0,431.9
2,-622.7,-747.6,185,37,26,23.7,97.3,9.0,10.0,11.0,0,0,0,0,60.0,90.0,197.5
3,-749.7,-337.2,164,26,316,25.0,160.9,12.0,13.0,14.0,0,0,0,0,120.0,150.0,0.2
4,-559.4,-752.4,107,32,109,29.5,273.2,6.0,7.0,8.0,0,0,0,0,60.0,90.0,3406.4
5,-214.9,704.7,149,44,337,16.7,52.0,6.0,7.0,8.0,0,0,0,0,60.0,90.0,2298.4
6,61.0,-820.8,164,5,272,9.6,205.1,9.0,10.0,11.0,0,0,0,0,90.0,120.0,1865.0
7,918.0,270.2,203,44,115,14.2,203.7,9.0,10.0,11.0,0,0,0,0,120.0,150.0,963.0
8,-132.7,-395.7,145,18,64,10.0,205.7,9.0,10.0,11.0,0,0,0,0,60.0,90.0,3410.6
9,-58.1,-114.8,148,40,278,24.0,142.9,12.0,13.0,14.0,0,0,0,0,30.0,60.0,1053.7
10,424.4,-370.0,122,14,109,23.9,238.9,12.0,13.0,14.0,0,0,0,0,120.0,150.0,383.4
11,-27.3,-293.5,123,28,354,25.6,281.2,9.0,10.0,11.0,0,0,0,0,30.0,60.0,1766.9
12,-146.5,182.4,143,40,141,27.5,293.6,6.0,7.0,8.0,0,0,0,0,60.0,90.0,359.6
13,-104.1,-605.7,163,36,348,1.3,275.7,3.0,4.0,5.0,0,0,0,0,120.0,150.0,1036.8
14,-824.4,163.5,201,22,329,20.2,52.8,6.0,7.0,8.0,0,0,0,0,120.0,150.0,417.9
15,-37.9,336.6,121,5,80,2.9,36.5,6.0,7.0,8.0,0,0,0,0,60.0,90.0,1712.9
16,-840.1,942.5,146,7,29,11.7,1.7,3.0,4.0,5.0,0,0,0,0,30.0,60.0,3284.8
17,488.0,-66.9,189,30,328,16.1,179.4,3.0,4.0,5.0,0,0,0,0,120.0,150.0,1430.4
18,749.2,578.3,101,12,214,3.6,96.7,9.0,10.0,11.0,0,0,0,0,90.0,120.0,509.3
19,725.0,399.8,202,33,211,14.2,66.4,9.0,10.0,11.0,0,0,0,0,60.0,90.0,1946.6
20,-123.7,923.8,201,3,78,18.3,164.1,12.0,13.0,14.0,0,0,0,0,60.0,90.0,244.6
21,671.6,807.6,183,27,26,5.7,258.5,9.0,10.0,11.0,0,0,0,0,90.0,120.0,133.2
22,354.8,-774.1,107,45,22,12.8,326.5,3.0,4.0,5.0,0,0,0,0,30.0,60.0,2765.9
23,534.9,400.9,121,16,314,14.3,347.3,9.0,10.0,11.0,0,0,0,0,60.0,90.0,1050.4
24,-742.4,-922.4,181,12,87,11.1,215.4,6.0,7.0,8.0,0,0,0,0,30.0,60.0,63.6
25,-420.7,249.3,185,42,254,8.4,118.0,12.0,13.0,14.0,0,0,0,0,60.0,90.0,625.8
26,-751.8,950.7,161,19,204,26.4,139.4,3.0,4.0,5.0,0,0,0,0,30.0,60.0,197.5
27,-874.4,823.3,165,39,147,16.3,322.3,3.0,4.0,5.0,0,0,0,0,60.0,90.0,1376.0
28,-890.2,-931.6,164,28,331,6.4,291.5,12.0,13.0,14.0,0,0,0,0,30.0,60.0,0.2
29,895.5,212.7,203,10,82,19.2,187.2,9.0,10.0,11.0,0,0,0,0,60.0,90.0,1044.8
30,-571.8,18.0,204,15,89,1.2,255.3,3.0,4.0,5.0,0,0,0,0,30.0,60.0,3419.5
31,-122.2,-907.0,149,44,343,5.5,247.6,6.0,7.0,8.0,0,0,0,0,30.0,60.0,1898.6
32,-890.2,-722.8,163,45,120,23.1,253.8,9.0,10.0,11.0,0,0,0,0,120.0,150.0,998.8
33,749.1,-646.1,144,2,191,30.6,216.2,9.0,10.0,11.0,0,0,0,0,60.0,90.0,1234.7
34,472.5,-326.5,101,20,328,25.9,341.4,3.0,4.0,5.0,0,0,0,0,30.0,60.0,2347.2
35,287.2,-595.5,142,20,216,11.3,55.1,9.0,10.0,11.0,0,0,0,0,90.0,120.0,204.4
36,316.1,323.5,204,8,49,1.1,329.2,3.0,4.0,5.0,0,0,0,0,120.0,150.0,3419.5
37,847.8,-594.5,105,19,342,15.2,60.0,12.0,13.0,14.0,0,0,0,0,90.0,120.0,1799.6
38,659.5,624.0,124,4,267,11.2,93.2,6.0,7.0,8.0,0,0,0,0,120.0,150.0,827.5
39,196.5,386.3,122,44,217,13.9,10.8,3.0,4.0,5.0,0,0,0,0,60.0,90.0,1932.6
40,906.8,-446.3,123,9,26,21.4,67.2,3.0,4.0,5.0,0,0,0,0,60.0,90.0,1628.8
41,887.2,-951.1,102,44,206,20.4,193.9,6.0,7.0,8.0,0,0,0,0,30.0,60.0,2197.0
42,649.7,-570.7,103,32,274,9.7,309.3,3.0,4.0,5.0,0,0,0,0,30.0,60.0,3043.2
43,475.6,15.5,182,3,80,18.3,355.3,12.0,13.0,14.0,0,0,0,0,120.0,150.0,151.2
44,897.3,781.6,145,3,266,9.8,337.2,9.0,10.0,11.0,0,0,0,0,30.0,60.0,3415.3
45,-104.0,-226.3,123,6,177,20.5,50.2,3.0,4.0,5.0,0,0,0,0,90.0,120.0,610.0
46,936.0,727.7,185,6,24,13.2,88.3,6.0,7.0,8.0,0,0,0,0,30.0,60.0,1288.1
47,555.8,-49.2,203,1,335,12.0,64.9,3.0,4.0,5.0,0,0,0,0,30.0,60.0,3339.7
48,884.3,288.4,204,13,4,22.4,41.7,12.0,13.0,14.0,0,0,0,0,30.0,60.0,2457.7
49,-562.1,-32.7,185,42,360,3.1,240.2,12.0,13.0,14.0,0,0,0,0,90.0,120.0,484.2
50,692.4,604.7,147,10,171,23.1,246.8,6.0,7.0,8.0,0,0,0,0,60.0,90.0,958.5
